timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-28 09:30:00+05:30,42231.84,42765.22,42228.64,42720.32,2631.50653,2024-01-28 10:29:59.999000+05:30,111746936.8501131,85281.0,1537.74945,65297482.006409,0
2024-01-28 10:30:00+05:30,42720.33,42842.68,42453.41,42562.44,2401.725,2024-01-28 11:29:59.999000+05:30,102431362.3989004,65958.0,1150.03812,49045918.0919972,0
2024-01-28 11:30:00+05:30,42562.45,42577.81,42293.66,42413.27,1652.27318,2024-01-28 12:29:59.999000+05:30,70135364.0989157,60047.0,651.82877,27659215.0266829,0
2024-01-28 12:30:00+05:30,42413.27,42530.63,42359.13,42388.82,1168.39227,2024-01-28 13:29:59.999000+05:30,49599862.0296756,35832.0,499.13157,21187926.0438285,0
2024-01-28 13:30:00+05:30,42388.82,42614.18,42323.14,42491.1,1299.94364,2024-01-28 14:29:59.999000+05:30,55216890.3721643,60100.0,668.79855,28404956.6274907,0
2024-01-28 14:30:00+05:30,42491.09,42698.0,42424.0,42575.03,1422.02088,2024-01-28 15:29:59.999000+05:30,60532404.4879796,55198.0,811.26688,34534862.9864044,0
2024-01-28 15:30:00+05:30,42575.02,42645.83,42500.0,42600.02,683.9497,2024-01-28 16:29:59.999000+05:30,29120954.4983009,29279.0,310.7963,13234019.8111728,0
2024-01-28 16:30:00+05:30,42600.03,42612.62,42357.88,42471.98,1042.17023,2024-01-28 17:29:59.999000+05:30,44265249.3667504,41869.0,449.93274,19107658.0440587,0
2024-01-28 17:30:00+05:30,42471.98,42493.33,42291.11,42417.04,1188.06665,2024-01-28 18:29:59.999000+05:30,50342587.9000357,44196.0,491.75772,20840694.7468263,0
2024-01-28 18:30:00+05:30,42417.04,42449.99,42240.22,42397.18,910.01882,2024-01-28 19:29:59.999000+05:30,38536965.3193503,39073.0,442.81589,18751588.438859,0
2024-01-28 19:30:00+05:30,42397.19,42544.0,42252.13,42288.0,910.41591,2024-01-28 20:29:59.999000+05:30,38616656.4297969,37161.0,479.21413,20332595.3123278,0
2024-01-28 20:30:00+05:30,42288.0,42411.1,42155.55,42258.01,970.07038,2024-01-28 21:29:59.999000+05:30,41026973.0307002,40179.0,504.78068,21352451.9312973,0
2024-01-28 21:30:00+05:30,42258.0,42354.7,42136.58,42312.34,755.82534,2024-01-28 22:29:59.999000+05:30,31957843.0540224,33197.0,391.28452,16546378.4331085,0
2024-01-28 22:30:00+05:30,42312.35,42312.35,42100.0,42168.17,755.94073,2024-01-28 23:29:59.999000+05:30,31890373.0899459,38205.0,347.60857,14665360.2748593,0
2024-01-28 23:30:00+05:30,42168.16,42170.4,41920.51,41971.67,1049.86327,2024-01-29 00:29:59.999000+05:30,44133950.6136008,43864.0,466.25578,19601338.5144067,0
